Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
reuters.csv,1,729,1,729,0,0,5.866569999999911,994,0
reuters.csv,1,729,1,729,0,0,0.089949999999817,64836,0
reuters.csv,1,729,1,729,0,0,0.0852939999999762,68375,0
reuters.csv,1,717,1,717,0,0,22.23497599999996,257,0
reuters.csv,1,717,1,717,0,0,12.272290999999996,467,0
reuters.csv,1,717,1,717,0,0,0.0912900000000718,62832,0
reuters.csv,1,717,1,717,0,0,53.50402699999995,107,0
reuters.csv,1,717,1,717,0,0,0.0981500000000323,58441,0
reuters.csv,1,717,1,717,0,0,24.057267000000135,238,0
reuters.csv,1,717,1,717,0,0,25.382882999999996,225,0
reuters.csv,4,5264,1,722,3,4542,2.2006760000001577,2624,16511
reuters.csv,4,5264,1,722,3,4542,2.200665000000072,2624,16511
reuters.csv,4,5264,1,722,3,4542,2.132309000000077,2708,17040
reuters.csv,1,717,1,717,0,0,0.0884530000000722,64847,0
reuters.csv,1,717,1,717,0,0,49.645544999999856,115,0
reuters.csv,1,717,1,717,0,0,0.0988239999999223,58042,0
reuters.csv,1,717,1,717,0,0,0.0922809999999572,62157,0
reuters.csv,1,717,1,717,0,0,88.18198000000007,65,0
reuters.csv,1,717,1,717,0,0,70.83811600000013,80,0
reuters.csv,1,717,1,717,0,0,11.04211099999975,519,0
reuters.csv,1,717,1,717,0,0,0.1422929999998814,40311,0
reuters.csv,1,717,1,717,0,0,14.042693999999756,408,0
reuters.csv,1,717,1,717,0,0,0.13364300000012,42920,0
reuters.csv,1,717,1,717,0,0,0.1362619999999879,42095,0
reuters.csv,4,5264,1,722,3,4542,7.285286000000269,792,4987
reuters.csv,4,5264,1,722,3,4542,7.281244000000242,793,4990
reuters.csv,1,717,1,717,0,0,176.1947340000006,32,0
reuters.csv,1,717,1,717,0,0,7.683029000000715,746,0
reuters.csv,1,717,1,717,0,0,0.0903790000002118,63466,0
reuters.csv,1,717,1,717,0,0,0.0814199999995253,70449,0
reuters.csv,1,717,1,717,0,0,0.0970550000001821,59100,0
reuters.csv,1,717,1,717,0,0,0.1015239999996993,56498,0
reuters.csv,1,717,1,717,0,0,0.096918999999616,59183,0
reuters.csv,1,717,1,717,0,0,15.430160000000797,371,0
reuters.csv,1,717,1,717,0,0,17.563436999999794,326,0
reuters.csv,1,717,1,717,0,0,9.000230999999985,637,0
reuters.csv,1,717,1,717,0,0,72.38185500000054,79,0
reuters.csv,1,717,1,717,0,0,53.584187000000384,107,0
reuters.csv,1,717,1,717,0,0,0.8146690000003218,7040,0
reuters.csv,1,717,1,717,0,0,0.7977700000001278,7190,0
reuters.csv,1,717,1,717,0,0,0.7312050000000454,7844,0
reuters.csv,1,717,1,717,0,0,0.5419379999993907,10584,0
reuters.csv,1,717,1,717,0,0,0.5418610000006083,10585,0
reuters.csv,1,717,1,717,0,0,0.5457989999995334,10509,0
reuters.csv,1,717,1,717,0,0,0.4841160000005402,11848,0
reuters.csv,1,717,1,717,0,0,52.46403399999963,109,0
reuters.csv,1,717,1,717,0,0,46.13567899999998,124,0
reuters.csv,1,717,1,717,0,0,38.26890900000035,149,0
reuters.csv,1,707,1,707,0,0,64.80303499999991,87,0
reuters.csv,1,707,1,707,0,0,24.022703999999976,235,0
reuters.csv,1,707,1,707,0,0,28.084326999999572,201,0
reuters.csv,1,717,1,717,0,0,1.96042000000034,2925,0
reuters.csv,1,707,1,707,0,0,36.51511599999958,154,0
reuters.csv,1,707,1,707,0,0,67.39848400000028,83,0
reuters.csv,1,717,1,717,0,0,3.0036669999999503,1909,0
reuters.csv,1,707,1,707,0,0,43.11698200000046,131,0
reuters.csv,1,707,1,707,0,0,39.52539400000023,143,0
reuters.csv,1,707,1,707,0,0,22.465354999999363,251,0
reuters.csv,1,707,1,707,0,0,19.511900999999853,289,0
reuters.csv,1,707,1,707,0,0,30.939194999999927,182,0
reuters.csv,1,707,1,707,0,0,4.832531000000017,1170,0
reuters.csv,1,707,1,707,0,0,2.4742050000004383,2285,0
