Website,Time,Length,Protocol,Info
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,291,0,11
4,34.906689,93,0,15
4,34.911353,54,1,6
4,34.911439,54,1,6
4,34.911471,54,1,6
4,34.911495,54,1,6
4,34.911519,54,1,6
4,34.911554,54,1,6
4,34.911586,54,1,6
4,34.911611,54,1,6
4,34.911642,54,1,6
4,34.911669,54,1,6
4,34.911702,54,1,6
4,34.911736,54,1,6
4,34.911768,54,1,6
4,34.911795,93,0,15
4,34.926249,92,1,6
4,35.081357,1466,1,6
4,35.081385,1466,1,6
4,35.081409,1466,1,6
4,35.081431,924,0,15
4,35.081464,1466,1,6
4,35.081494,746,0,15
4,35.094631,92,1,6
4,35.094631,92,1,6
4,35.094949,92,1,6
4,35.095064,92,1,6
4,35.143353,128,0,15
4,35.143402,93,0,15
4,35.143569,93,0,15
4,35.15109,54,1,6
4,35.151175,93,0,15
4,35.161251,1466,1,6
4,35.161283,1466,1,6
4,35.161315,1466,1,6
4,35.161346,287,0,15
4,35.162531,92,1,6
4,35.174098,92,1,6
4,35.174169,92,1,6
4,35.175673,92,1,6
4,35.196394,128,0,15
4,35.196394,1466,0,15
4,35.196394,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1466,0,15
4,35.196423,1167,0,11
4,35.196423,93,0,15
4,35.200183,54,1,6
4,35.20038,54,1,6
4,35.200467,54,1,6
4,35.200494,54,1,6
4,35.200517,54,1,6
4,35.200541,93,0,15
4,35.218741,92,1,6
4,35.346033,1466,1,6
4,35.346144,1466,1,6
4,35.346183,1466,1,6
4,35.346211,644,0,15
4,35.34757,1466,1,6
4,35.347617,1466,1,6
4,35.34765,1466,1,6
4,35.347676,640,0,15
4,35.359071,92,1,6
4,35.359071,92,1,6
4,35.359361,92,1,6
4,35.361988,92,1,6
4,35.362158,92,1,6
4,35.362227,92,1,6
4,35.370428,1466,1,6
4,35.37047,1466,1,6
4,35.370496,1093,0,15
4,35.370532,1466,1,6
4,35.370563,1466,1,6
4,35.370596,717,0,15
4,35.382077,92,1,6
