Website,Packets,Bytes,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
reuters.csv,1,707,5022,0.02,1,707,0,0,24.022703999999976,235,0
reuters.csv,1,707,4584,0.02,1,707,0,0,28.084326999999572,201,0
reuters.csv,1,717,327,0.31,1,717,0,0,1.96042000000034,2925,0
reuters.csv,1,707,6373,0.02,1,707,0,0,36.51511599999958,154,0
reuters.csv,1,707,5107,0.02,1,707,0,0,67.39848400000028,83,0
reuters.csv,1,717,298,0.34,1,717,0,0,3.0036669999999503,1909,0
reuters.csv,1,707,36126,0.0,1,707,0,0,43.11698200000046,131,0
reuters.csv,1,707,6988,0.01,1,707,0,0,39.52539400000023,143,0
reuters.csv,1,707,6067,0.02,1,707,0,0,22.465354999999363,251,0
reuters.csv,1,707,5999,0.02,1,707,0,0,19.511900999999853,289,0
reuters.csv,1,707,5336,0.02,1,707,0,0,30.939194999999927,182,0
reuters.csv,1,707,3293,0.03,1,707,0,0,4.832531000000017,1170,0
reuters.csv,1,707,2622,0.04,1,707,0,0,2.4742050000004383,2285,0
reuters.csv,1,707,3849,0.03,1,707,0,0,8.368249000000105,675,0
reuters.csv,1,707,36526,0.0,1,707,0,0,11.959552999999689,472,0
reuters.csv,1,719,21,4.76,1,719,0,0,0.1082989999995334,53112,0
reuters.csv,1,719,23,4.35,1,719,0,0,0.1323769999999058,43451,0
reuters.csv,1,719,22,4.55,1,719,0,0,0.334646000000248,17188,0
reuters.csv,1,719,19,5.26,1,719,0,0,0.1010559999995166,56918,0
reuters.csv,1,719,22,4.55,1,719,0,0,0.1320580000001427,43556,0
reuters.csv,1,719,473,0.21,1,719,0,0,7.475765000000138,769,0
reuters.csv,1,719,108,0.93,1,719,0,0,7.475721000000703,769,0
wikipedia.csv,1,718,198,0.51,1,718,0,0,120.66624199999995,47,0
wikipedia.csv,1,718,133,0.75,1,718,0,0,120.20614099999987,47,0
wikipedia.csv,1,719,5460,0.02,1,719,0,0,117.26773300000012,49,0
