Website,Length,Protocol,Info
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=270432 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=273304 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=276176 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=279048 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=281920 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=284792 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=287664 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=290536 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,"Application Data, Application Data"
github.csv,236,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=293408 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=296280 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=299152 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=302024 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=304896 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=307768 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=310640 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=313512 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=315130 Win=132096 Len=0
github.csv,696,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=315130 Ack=6621 Win=86016 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1138,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1402,TLSv1.3,Application Data
github.csv,1446,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1402,TLSv1.3,Application Data
github.csv,1446,TLSv1.3,Application Data
github.csv,1214,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1182,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1402,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1311,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1226,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1402,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1402,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1355,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
